co_id,ticker_full,name,board,commodities,listing_date,status,covers_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_30jun2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
FIR0059,AG.TO,First Majestic Silver Corp.,TSX,Gold | Silver,2008-01-15,ok,True,1996-08-08,2026-08-25,7549.0,11.0,False,1.0,0.0,0.188,263620.0,11872122499.44,4.5865,4.2161,4.2456,4.3343,4.7185,2.0883,4.1373,12.3232,19.0709,7.654,8.3238,11.6191,29.35,-0.0808,-0.0743,-0.055,0.0288,-0.5447,-0.0979,1.6868,3.1581,0.6688,0.8148,1.5333,5.3992
FIR0127,FF.TO,First Mining Gold Corp.,TSX,Gold,2017-06-22,ok,True,2015-04-21,2026-08-25,2848.0,9.0,False,1.0,0.0,0.0,733620.0,858609494.88,0.724,0.71,0.63,0.64,0.58,0.44,0.225,0.34,0.23,0.12,,,0.94,-0.0193,-0.1298,-0.116,-0.1989,-0.3923,-0.6892,-0.5304,-0.6823,-0.8343,,,0.2983
FIR0023,FM.TO,First Quantum Minerals Ltd.,TSX,Gold | Copper | Molybdenum,2000-01-11,no price near listing,False,2000-06-30,2026-08-25,6567.0,8.0,False,5.0,1.0,1.7784,,32317145708.64,,,,,0.4527,0.5197,0.5613,0.6772,3.0964,10.045,17.1885,15.7155,48.69,,,,,,,,,,,,
FOR0019,FSY.TO,Forsys Metals Corp.,TSX,Uranium,2006-10-17,no price near listing,False,2026-07-17,2026-08-19,7.0,0.0,False,1.0,0.0,0.0,,110126460.15,,,,,,,,,,,,,0.56,,,,,,,,,,,,
FOR0023,FVI.TO,Fortuna Mining Corp.,TSX,Gold | Silver | Lead | Zinc,2010-01-18,ok,True,1994-06-03,2026-08-25,8101.0,11.0,False,1.0,0.0,0.0,620320.0,3590387359.13,2.598,2.5,2.34,2.51,2.02,4.24,5.6,4.57,5.8,8.51,5.1,6.55,17.2,-0.0377,-0.0993,-0.0339,-0.2225,0.632,1.1555,0.759,1.2325,2.2756,0.963,1.5212,5.6205
FOR0013,FT.TO,Fortune Minerals Limited,TSX,,1997-10-31,no price near listing,False,1998-06-03,2026-08-25,7091.0,7.0,False,1.0,0.0,0.0,,98461341.75,,,,,,5.3,0.45,0.48,0.5,3.33,2.3,0.46,0.1425,,,,,,,,,,,,
FRA0009,FNV.TO,Franco-Nevada Corporation,TSX,Oil and Gas | Gold | Silver | Platinum/PGM,2007-12-19,ok,True,2007-12-03,2026-08-25,4699.0,11.0,False,1.0,0.0,20.261,1026280.0,57071766585.9,12.0003,12.3761,14.884,16.5423,18.6508,15.808,21.8327,27.8456,49.2785,49.1449,89.8624,181.7192,375.33,0.0313,0.2403,0.3785,0.5542,0.3173,0.8193,1.3204,3.1064,3.0953,6.4883,14.1429,30.2767
INT0028,FVL.TO,Freegold Ventures Limited,TSX,Gold,1998-05-19,ok,True,1998-05-19,2026-08-25,7102.0,11.0,True,0.25,1.0,0.0,438.0,554593699.2,15.744,16.56,13.2,5.04,9.12,3.12,6.48,2.88,2.16,0.96,6.96,0.33,1.34,0.0518,-0.1616,-0.6799,-0.4207,-0.8018,-0.5884,-0.8171,-0.8628,-0.939,-0.5579,-0.979,-0.9149
AUR0018,FURY.TO,Fury Gold Mines Limited,TSX,Gold,2016-11-01,no price near listing,False,2018-07-10,2026-08-25,2040.0,4.0,True,0.675,1.0,0.0,,142592895.75,,,,,,,2.2222,2.8593,0.82,0.45,,,0.88,,,,,,,,,,,,
SUL0004,FMR.TO,Future Mineral Resources Inc.,TSX,Gold,2014-08-11,ok,True,2014-08-11,2026-08-24,3021.0,10.0,True,0.1,1.0,0.0,23510.0,6307533.0,5.15,3.35,4.85,3.6,3.0,2.0,4.2,2.5,0.8,1.05,0.15,,0.25,-0.3495,-0.0583,-0.301,-0.4175,-0.6117,-0.1845,-0.5146,-0.8447,-0.7961,-0.9709,,-0.9515
V-04606,GMIN.TO,G Mining Ventures Corp.,TSX,Gold,2024-01-11,ok,True,2019-10-24,2026-08-25,1716.0,6.0,True,0.25,1.0,0.0,41450.0,9876409065.91,6.824,7.28,7.52,8.72,10.16,13.2,41.99,,,,,,56.33,0.0668,0.102,0.2778,0.4889,0.9343,5.1533,,,,,,7.2547
V-03674,GTWO.TO,G2 Goldfields Inc.,TSX,,2024-04-09,no price near listing,False,2026-07-17,2026-07-30,10.0,0.0,False,1.0,0.0,0.0,,2433843775.77,,,,,,,,,,,,,9.68,,,,,,,,,,,,
KEE0001,GAU.TO,Galiano Gold Inc.,TSX,Gold,2008-12-22,no price near listing,False,2009-01-28,2026-08-25,4410.0,10.0,False,1.0,0.0,0.0,,692492959.7,,,1.27,2.76,3.64,6.43,8.9,3.81,1.71,2.08,0.88,0.88,3.31,,,,,,,,,,,,
GEN0033,GENM.TO,Generation Mining Limited,TSX,Copper | Platinum/PGM,2020-07-15,ok,True,2018-05-09,2026-08-25,2082.0,8.0,False,1.0,0.0,0.0,459037.0,216302962.81,0.435,0.45,0.45,0.45,0.89,1.11,0.53,0.42,0.39,,,,0.76,0.0345,0.0345,0.0345,1.046,1.5517,0.2184,-0.0345,-0.1034,,,,0.7471
V-00155,GLO.TO,Global Atomic Corporation,TSX,Zinc | Uranium,2019-05-08,ok,True,2007-10-25,2026-08-25,4726.0,9.0,False,1.0,0.0,0.0,24640.0,303974955.32,0.428,0.41,0.49,0.51,0.45,0.65,3.08,3.02,2.24,0.82,,,0.62,-0.0421,0.1449,0.1916,0.0514,0.5187,6.1963,6.0561,4.2336,0.9159,,,0.4486
GLO0015,GMX.TO,Globex Mining Enterprises Inc.,TSX,Gold | Silver | Copper | Nickel | Molybdenum | Platinum/PGM | Iron | Lead | Zinc | Rare Earths | Lithium,1995-12-27,no price near listing,False,1996-08-13,2026-08-25,7546.0,7.0,False,1.0,0.0,0.0,,112295586.92,,,,,,4.75,2.0,0.15,0.17,0.9,3.89,2.01,2.1,,,,,,,,,,,,
