ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
MMY.V,V-01301,Monument Mining Limited,TSXV,270050327.04,,,,,,
GQC.V,V-00813,GoldQuest Mining Corp.,TSXV,269097077.2,,,,,,
WRLG.V,V-00568,West Red Lake Gold Mines Ltd.,TSXV,268430267.3,,,,,,
LUCA.V,V-01809,Luca Mining Corp.,TSXV,267012727.41,,,,,,
CKG.V,V-00404,Chesapeake Gold Corp.,TSXV,261411070.6,,,,,,
VROY.V,V-05024,Vizsla Royalties Corp.,TSXV,256038531.8,,,,,,
BGAU.TO,X-1428,Blossom Gold Inc.,TSX,254024455.77,,,,,,
DNG.TO,DYN0019,Dynacor Group Inc.,TSX,253790070.6,,,,,,
PTM.TO,PLA0024,Platinum Group Metals Ltd.,TSX,245539415.04,,,,,,
HHH.V,V-03016,Helius Minerals Limited,TSXV,244618014.36,,,,,,
PGDC.V,V-02889,Patagonia Gold Corp.,TSXV,244270772.72,,,,,,
GOT.V,V-02469,Goliath Resources Limited,TSXV,242989001.95,,,,,,
TSK.TO,TAL0009,Talisker Resources Ltd.,TSX,237766485.9,,,,,,
LRA.V,V-01120,Lara Exploration Ltd.,TSXV,236389606.28,,,,,,
MFG.V,V-04701,Mayfair Gold Corp.,TSXV,234313351.04,,,,,,
KCP.V,V-04622,King Copper Discovery Corp.,TSXV,230321281.68,,,,,,
ARK.V,V-04892,Arras Minerals Corp.,TSXV,228818488.36,,,,,,
ZNG.V,V-04391,Group Eleven Resources Corp.,TSXV,225886168.8,,,,,,
CAPT.V,V-04653,Capitan Silver Corp.,TSXV,225267911.75,,,,,,
LUC.TO,LUC0004,Lucara Diamond Corp.,TSX,223652577.45,,,,,,
RM.TO,X-1433,Roxmore Resources Inc.,TSX,220871580.16,,,,,,
MLP.V,V-04291,Millennial Potash Corp.,TSXV,220478757.95,,,,,,
ORV.TO,ORV0001,Orvana Minerals Corp.,TSX,219963305.31,,,,,,
OGN.V,V-03712,Orogen Royalties Inc.,TSXV,219640639.5,,,,,,
AAG.V,V-03817,Aftermath Silver Ltd.,TSXV,218643912.32,,,,,,
GENM.TO,GEN0033,Generation Mining Limited,TSX,216302962.81,,,,,,
BNKR.TO,V-04982,Bunker Hill Mining Corp.,TSX,215726122.5,,,,,,
AHR.V,V-00093,Amarc Resources Ltd.,TSXV,214700000.0,,,,,,
TECT.V,V-04611,Tectonic Metals Inc.,TSXV,213232747.2,,,,,,
SURG.V,V-00808,Surge Copper Corp.,TSXV,212445465.65,,,,,,
CERT.V,V-04512,Cerrado Gold Inc.,TSXV,212436133.23,,,,,,
LIB.V,V-01754,Libertystream Infrastructure Partners Inc.,TSXV,209090566.45,,,,,,
AE.V,V-04726,American Eagle Gold Corp.,TSXV,209021082.6,,,,,,
GPH.V,V-02624,Graphite One Inc.,TSXV,208967736.0,,,,,,
RVG.V,V-02996,Revival Gold Inc.,TSXV,207558064.35,,,,,,
SCMI.V,V-03648,Selkirk Copper Mines Inc.,TSXV,207167378.52,,,,,,
SFR.V,V-00796,Sandfire Resources America Inc.,TSXV,204670558.8,,,,,,
MGA.TO,MEG0005,Mega Uranium Ltd.,TSX,203997338.67,,,,,,
VGC.TO,X-1578,Valor Gold Corp.,TSX,203500000.0,,,,,,
MGM.V,V-03831,Maple Gold Mines Ltd.,TSXV,203143449.3,,,,,,
PGLD.V,V-04499,P2 Gold Inc.,TSXV,200612576.88,,,,,,
STLR.TO,MON0004,STLLR Gold Inc.,TSX,199857765.36,,,,,,
AUMB.V,V-04468,1911 Gold Corporation,TSXV,198872888.32,,,,,,
