ticker_full,stage
ENRG.V,Explorer
NFG.V,Producer
NTB.V,Explorer
NCAU.V,Explorer
NWX.V,Explorer
NEXG.V,Explorer
NEXM.V,Explorer
NXS.V,Explorer
NICN.V,Explorer
NKL.V,Royalty/Streamer
NCP.V,Explorer
NNX.V,Explorer
NIM.V,Producer
NIO.V,Explorer
NBY.V,Explorer
NOAL.V,Explorer
NBLC.V,Shell
NOB.V,Explorer
NOBL.V,Explorer
NRM.V,Explorer
NTH.V,Explorer
VKG.V,Shell
NVT.V,Explorer
NAR.V,Explorer
NPR.V,Explorer
NSU.V,Explorer
NGC.V,Producer
NL.V,Explorer
NRN.V,Explorer
NCX.V,Explorer
NMB.V,Explorer
NWST.V,Explorer
NUG.V,Explorer
NMC.V,Explorer
NVX.V,Explorer
FEO.V,Explorer
OLV.V,Explorer
OMG.V,Explorer
OMM.V,Explorer
OBUL.V,Explorer
ONAU.V,Explorer
OGW.V,Explorer
ONYX.V,Explorer
OPW.V,Explorer
OPHR.V,Explorer
OPTG.V,Explorer
OOR.V,Explorer
ORCL.V,Royalty/Streamer
ORS.V,Explorer
OTMC.V,Explorer
REX.V,Explorer
OCO.V,Explorer
OGN.V,Royalty/Streamer
OMI.V,Explorer
OSM.V,Explorer
ODV.V,Producer
PGLD.V,Explorer
PBM.V,Explorer
BKM.V,Explorer
PEMC.V,Royalty/Streamer
PPM.V,Explorer
PEX.V,Explorer
PA.V,Explorer
PNN.V,Explorer
PGZ.V,Explorer
PML.V,Explorer
PNTR.V,Explorer
PDQ.V,Explorer
PGDC.V,Producer
PAT.V,Shell
PCU.V,Explorer
PX.V,Explorer
PMI.V,Explorer
PER.V,Producer
PHNM.V,Explorer
PINN.V,Explorer
YARR.V,Explorer
PJX.V,Explorer
PGC.V,Shell
PLY.V,Explorer
PGP.V,Explorer
PNPN.V,Explorer
PWM.V,Explorer
PWRO.V,Explorer
PPX.V,Explorer
PRG.V,Explorer
PUR.V,Explorer
HDRO.V,Explorer
PMX.V,Shell
PPP.V,Explorer
PGX.V,Explorer
PHD.V,Explorer
PTX.V,Explorer
PUMA.V,Explorer
PE.V,Explorer
PTU.V,Explorer
PWH.V,Explorer
QTWO.V,Explorer
QCX.V,Explorer
QGR.V,Explorer
QMC.V,Explorer
QRO.V,Explorer
LEAP.V,Explorer
QZM.V,Explorer
QURI.V,Explorer
RAK.V,Explorer
RDS.V,Explorer
RDU.V,Explorer
RMO.V,Shell
RAMP.V,Explorer
RNCH.V,Explorer
RTH.V,Explorer
REC.V,Explorer
REE.V,Explorer
RSMX.V,Explorer
REG.V,Explorer
RGC.V,Explorer
RAGE.V,Explorer
RSM.V,Explorer
REVX.V,Explorer
RVG.V,Explorer
OWN.V,Explorer
RYE.V,Shell
RMD.V,Shell
RDG.V,Explorer
RMI.V,Explorer
RLYG.V,Shell
RYO.V,Explorer
RRRL.V,Explorer
RRI.V,Explorer
RJX.V,Unknown
RCT.V,Producer
RCK.V,Explorer
RK.V,Explorer
RKR.V,Explorer
RME.V,Explorer
ROS.V,Explorer
RTE.V,Explorer
RYR.V,Explorer
RPX.V,Explorer
RTM.V,Explorer
RML.V,Shell
SAE.V,Explorer
SF.V,Explorer
SAGA.V,Explorer
SAGE.V,Explorer
FISH.V,Royalty/Streamer
SRL.V,Explorer
SME.V,Explorer
SLG.V,Shell
SFR.V,Explorer
SCZ.V,Producer
SWA.V,Explorer
SCD.V,Explorer
SCY.V,Explorer
SGN.V,Explorer
SCOT.V,Explorer
SMY.V,Explorer
SCLT.V,Explorer
SGZ.V,Explorer
SCMI.V,Shell
SEND.V,Explorer
SEVA.V,Explorer
SHRP.V,Explorer
SIEN.V,Explorer
SM.V,Producer
SGML.V,Producer
SGU.V,Explorer
SBMI.V,Explorer
SVG.V,Shell
SNAG.V,Explorer
SVE.V,Explorer
SPD.V,Explorer
SNG.V,Explorer
SSE.V,Explorer
SVRS.V,Explorer
SILV.V,Explorer
VIPR.V,Explorer
SWLF.V,Explorer
AGX.V,Producer
AGA.V,Explorer
SICO.V,Explorer
SOI.V,Explorer
SIG.V,Explorer
SKEL.V,Explorer
SKRR.V,Explorer
SKYG.V,Explorer
SYH.V,Explorer
SXL.V,Explorer
SMRV.V,Explorer
SGC.V,Royalty/Streamer
SOMA.V,Producer
SGO.V,Explorer
SAO.V,Explorer
SPMC.V,Explorer
STS.V,Explorer
SMP.V,Explorer
SSV.V,Explorer
SGQ.V,Producer
SML.V,Producer
SPA.V,Explorer
W.V,Shell
SRI.V,Explorer
SPC.V,Explorer
SRQ.V,Explorer
LORD.V,Explorer
SRC.V,Producer
STUD.V,Explorer
SLI.V,Explorer
STND.V,Explorer
STRR.V,Shell
STE.V,Explorer
SPX.V,Explorer
SAG.V,Explorer
PGE.V,Explorer
STW.V,Explorer
STRM.V,Explorer
SMD.V,Explorer
SR.V,Explorer
SRA.V,Explorer
SKP.V,Explorer
SDR.V,Producer
STUV.V,Explorer
SUM.V,Royalty/Streamer
PEAK.V,Explorer
SMN.V,Explorer
SUI.V,Shell
NILI.V,Explorer
SURG.V,Explorer
SYG.V,Shell
TWO.V,Explorer
RARE.V,Explorer
TAJ.V,Explorer
TALA.V,Explorer
TRO.V,Explorer
TDG.V,Explorer
TECT.V,Explorer
TRR.V,Explorer
TES.V,Explorer
TUO.V,Explorer
TGX.V,Explorer
TAU.V,Explorer
TRCG.V,Explorer
THX.V,Producer
TGOL.V,Explorer
THM.V,Shell
BIRD.V,Shell
AWE.V,Explorer
TSLV.V,Explorer
TNGD.V,Explorer
TIGR.V,Explorer
TK.V,Explorer
TORC.V,Explorer
TTS.V,Shell
TITI.V,Explorer
TNR.V,Explorer
LOT.V,Explorer
TBLL.V,Explorer
TGC.V,Explorer
TORQ.V,Explorer
TMET.V,Explorer
TT.V,Explorer
TOTC.V,Explorer
TWR.V,Explorer
TBK.V,Explorer
TCO.V,Explorer
XTM.V,Explorer
TRS.V,Explorer
TRBC.V,Explorer
ROCK.V,Explorer
TG.V,Explorer
TOM.V,Explorer
TSG.V,Explorer
TIG.V,Explorer
TR.V,Explorer
TRU.V,Explorer
TSD.V,Explorer
TUD.V,Explorer
TUK.V,Producer
TVI.V,Explorer
MILE.V,Explorer
UTWO.V,Explorer
UCU.V,Explorer
ULT.V,Explorer
UGD.V,Explorer
URZ.V,Explorer
USCU.V,Explorer
USHA.V,Explorer
VTEN.V,Explorer
VZZ.V,Explorer
VMXX.V,Explorer
OZ.V,Explorer
VO.V,Explorer
VRB.V,Explorer
VAX.V,Shell
VCV.V,Explorer
KNOX.V,Explorer
VLC.V,Explorer
VLX.V,Explorer
VTT.V,Explorer
VENT.V,Explorer
V.V,Explorer
VERT.V,Explorer
VLD.V,Explorer
VIO.V,Explorer
VML.V,Explorer
VGD.V,Explorer
VLI.V,Explorer
VCG.V,Explorer
VIZ.V,Explorer
VAU.V,Explorer
VCU.V,Explorer
VROY.V,Royalty/Streamer
VG.V,Explorer
VCT.V,Explorer
VMS.V,Explorer
VM.V,Producer
VRR.V,Explorer
VUL.V,Explorer
VVC.V,Explorer
WLR.V,Shell
WRR.V,Explorer
WML.V,Explorer
WGF.V,Explorer
WHY.V,Explorer
WPG.V,Explorer
WRLG.V,Producer
WVM.V,Explorer
WEX.V,Explorer
WGLD.V,Explorer
WMS.V,Explorer
WHN.V,Explorer
WGO.V,Explorer
WMK.V,Explorer
WSK.V,Explorer
WEC.V,Shell
WINS.V,Explorer
WLF.V,Explorer
WCU.V,Explorer
XGC.V,Explorer
GIG.V,Explorer
XIM.V,Explorer
XPLR.V,Explorer
XXIX.V,Explorer
ZAC.V,Explorer
ZBNI.V,Explorer
ZEN.V,Explorer
ZFR.V,Explorer
ZNX.V,Explorer
ZAU.V,Explorer
ZON.V,Shell
